comments,0/1
"Addictive game Very good game, the graphics are brilliant. A great game if you like hidden object games.",1
"Where to start? I came on here because I wanted to get flappy bird but when I saw this I thought it was basically the same thing but it's even harder,more frustrating and annoying,doesn't react straight away and I don't get what's with the poo. I want flappy bird!!!!!!!!",0
"Really Disappointed in this Film I have to say I was so looking forward to this remake of superman. The trailer for the film made it look fantastic. Talk about disappointed when I watched it on Christmas day! There were good points for the film, that I didn't feel were really properly realised. Amy Adams as Lois Lane was one. She actually made me like the character, which was a first for me. I also did like the fact that Lois found out who superman was early on in the film. I always found it daft that she didn't work it out in the original film (some reporter!). I also thought Russell Crowe played the part of Jor El to perfection. The young actor that played 13 year old Clark was also fantastic. He out shone the adult version of himself by a mile!<br /><br />Newcomer Henry Cavill sadly lacked as the adult Clark Kent and Superman. He didn't make me care about him and I didn't feel connected to him at all. I really thought he would take over and make this role his, but Christopher Reeves still holds the title as the best big screen Superman as far as I'm concerned. Add to that far too many endless scenes where Superman and his enemies are being thrown through buildings, explosions from behind and punching each other up (which got tedious and boring) and you've got one big disappointment in film viewing. The whole thing gave me a headache by the end.<br /><br />Why can't film makers leave special effects as an enhancement to the film and concentrate some much needed attention on storyline and character development? After all, endless action scenes without storyline and characters you care about, will result in a film people can only watch once, rather than one that you can watch again and again. I was in a quandary about whether to watch Superman 2 with the edition of Batman (who I hate and never watch), but this has cleared things up for me. I will happily skip the second movie and not lose any sleep over it.<br /><br />If you love Superman, you're better off with the original films and TV series Smallville. Both are far better than this. Action junkies will love this version however.",0
"Rubbish game When I tried to open it, it said it had stopped-fix this and higher rating",0
One Star Come on,0
Five Stars brilliant fast postage and 48:13 was fab thanks,1
Five Stars The CD is excellent but I wish your review system would work more efficiently,1
"Not worth buying As a family we are huge Matt Damon fans, especially the Bourne series. This is NOTHING like the Bourne series. we sat down to watch it with my 14 year old and 16 year old sons, but the lack of any plot and action (besides the sort of action which makes me wonder how it only got a 15 rating) made us turn it off about 40 minutes into the movie.",0
Five Stars good buy,1
One Star Did not like at all,0
